PUZZLE,CATEGORY,,
OFF THE TOP OF MY HEAD,Phrase,,
DOLLARS AND CENTS,Things,,
MICHELE LEE,Person,,
CIRCUS OF THE STARS,Title,,
BLIND DATE,Event,,
GOING AGAINST THE GRAIN,Phrase,,
CAPTAIN OF THE FOOTBALL TEAM,Person,,
LOU RAWLS,Person,,
SURPRISE BIRTHDAY PARTY,Event,,
HAVING THE TIME OF MY LIFE,Phrase,,
SALT LAKE CITY UTAH,Place,,
MORSE CODE,Thing,,
A CHIP OFF THE OLD BLOCK,Phrase,,
BRUCE SPRINGSTEEN,Person,,
SMALL CRAFT WARNING,Thing,,
RETURN ADDRESS,Thing,,
THE NATIONAL ANTHEM,Thing,,
OPERATING TABLE,Thing,,
GET IT OFF YOUR CHEST,Phrase,,
THE NATIONAL GUARD,People,,
MUSICAL CHAIRS,Thing,,
SWEET LAND OF LIBERTY,Quotation,,
WEDDING GOWN,Thing,,
ACADEMY AWARD NOMINATION,Thing,,
FIT TO BE TIED,Phrase,,
RINGMASTER,Person,,
SPEED LIMIT,Thing,,
BACK TO THE DRAWING BOARD,Phrase,,
GOSPEL SINGERS,People,,
TELL IT TO THE MARINES,Phrase,,
WATCHING YOUR WAISTLINE,Phrase,,
ONE TO A CUSTOMER,Phrase,,
STEVE MARTIN,Person,,
GETTING THE MESSAGE ACROSS,Phrase,,
SYNDICATED COLUMNIST,Occupation,,
TEARS OF JOY,Things,,
KEY RING,Thing,,
IF LOOKS COULD KILL,Phrase,,
FOUR SCORE AND SEVEN YEARS AGO,Quotation,,
RAVISHING BEAUTY,Person,,
DRILL SERGEANT,Person,,
WINDSHIELD WIPERS,Things,,
ON A SILVER PLATTER,Phrase,,
BUSY AS A BEE,Phrase,,
STICK OF DYNAMITE,Thing,,
GAME SHOW HOST,Occupation,,
GOING OFF THE DEEP END,Phrase,,
BUFFALO NEW YORK,Place,,
FROM TOP TO BOTTOM,Phrase,,
SOONER OR LATER,Phrase,,
ADDING INSULT TO INJURY,Phrase,,
MY OLD KENTUCKY HOME,Title,,
MORRIS THE CAT,Thing,,
FRANK SINATRA,Person,,
BURT LANCASTER,Person,,
AN EYE FOR AN EYE AND A TOOTH FOR A TOOTH,Phrase,,
CONSTRUCTIVE CRITICISM,Thing,,
SEAFOOD RESTAURANT,Place,,
BIGGER AND BETTER,Phrase,,
VITAL STATISTICS,Things,,
SPENCER TRACY,Person,,
MULLIGAN STEW,Thing,,
TOMB OF THE UNKNOWN SOLDIER,Landmark,,
CLINICALLY TESTED,Phrase,,
BOSTON RED SOX,People,,
EAST OF EDEN,Title,,
MOST LIKELY TO SUCCEED,Phrase,,
THE WHOLE BALL OF WAX,Phrase,,
NIELSEN RATINGS,Things,,
RODNEY DANGERFIELD,Person,,
DR FRANKENSTEIN,Fictional Character,,
CHEECH AND CHONG,People,,
ELEMENTARY MY DEAR WATSON,Quotation,,
SCHOOLTEACHER,Occupation,,
UNITED STATES AMBASSADOR,Person,,
ELECTRIC BLANKET,Thing,,
STILL WATER RUNS DEEP,Phrase,,
KNIGHTS OF COLUMBUS,People,,
NEW ORLEANS LOUISIANA,Place,,
REMEMBER THE ALAMO,Phrase,,
SLIP INTO SOMETHING MORE COMFORTABLE,Phrase,,
VENDING MACHINE,Thing,,
ALL YOU CAN EAT,Phrase,,
ONE HAND WASHES THE OTHER,Phrase,,
IDAHO POTATOES,Things,,
WOLF WHISTLE,Thing,,
ANTS IN YOUR PANTS,Phrase,,
COME HELL OR HIGH WATER,Phrase,,
BITE THE BULLET,Phrase,,
A PASSING FANCY,Phrase,,
MISSION CONTROL CENTER,Place,,
THE THRILL OF VICTORY AND THE AGONY OF DEFEAT,Quotation,,
RUBBER BAND,Thing,,
TAKE IT OR LEAVE IT,Phrase,,
PRIMA DONNA,Person,,
LETTERS TO THE EDITOR,Things,,
GOING FROM BAD TO WORSE,Phrase,,
HOLY MACKEREL,Phrase,,
SUCCESS OR FAILURE,Phrase,,
THE ROAD RUNNER,Fictional Character,,
CONSENSUS OF OPINION,Phrase,,
NEST EGG,Thing,,
AND BABY MAKES THREE,Phrase,,
SWAMPLAND IN FLORIDA,Place,,
GAS STATION,Place,,
OSTRICH FEATHERS,Things,,
STARK RAVING MAD,Phrase,,
EUROPEAN VACATION,Event,,
CLASS RING,Things,,
OPENING NIGHT JITTERS,Phrase,,
LOS ANGELES DODGERS,People,,
BEAUTY BRAINS AND TALENT,Things,,
UNITED STATES AIR FORCE,People,,
CASH IN YOUR CHIPS,Phrase,,
TROUBLEMAKER,Person,,
THE LINCOLN MEMORIAL,Landmark,,
PERSONALIZED LICENSE PLATES,Things,,
JUDGE AND JURY,People,,
BILLINGS MONTANA,Place,,
RACKING MY BRAIN,Phrase,,
DETECTIVE AGENCY,Thing,,
IT HAD TO BE YOU,Title,,
STEAMSHIP,Thing,,
FAMILY DOCTOR,Person,,
HOUSING DEVELOPMENT,Place,,
TOKYO JAPAN,Place,,
SAVING THE BEST FOR LAST,Phrase,,
FOREIGN CURRENCY,Thing,,
MAD AS A HATTER,Phrase,,
SKI SEASON,Thing,,
THE WAVE OF THE FUTURE,Phrase,,
SKINTIGHT BLUE JEANS,Thing,,
BURSTING WITH ENERGY,Phrase,,
HEART AND SOUL,Title,,
POLLY WANT A CRACKER,Phrase,,
YOU SHOULD BE ASHAMED OF YOURSELF,Phrase,,
NEW HAMPSHIRE PRIMARY,Event,,
OUT OF STEP,Phrase,,
SUPER BOWL SUNDAY,Event,,
BROTHER CAN YOU SPARE A DIME,Title,,
DRUGS MOST COMMONLY DISPENSED BY DOCTORS,Things,,
THE EMPIRE STRIKES BACK,Title,,
BRASS BAND,People,,
CUT OFF WITHOUT A PENNY,Phrase,,
CHOCOLATE MOUSSE,Thing,,
CAPTAINS COURAGEOUS,Title,,
THIMBLE,Thing,,
CURLED UP WITH A GOOD BOOK,Phrase,,
DAVID COPPERFIELD,Title,,
KANSAS CITY ROYALS,People,,
ROAST BEEF AND YORKSHIRE PUDDING,Things,,
OPEN YOUR EYES,Phrase,,
STARTING PITCHER,Person,,
THE LIGHT AT THE END OF THE TUNNEL,Phrase,,
MICHAEL AND JESSE JACKSON,Same Name,,
LIZA MINNELLI,Person,,
LONG AGO AND FAR AWAY,Title,,
ARTFUL DODGER,Fictional Character,,
IN ORDER OF IMPORTANCE,Phrase,,
PUT ON THE SPOT,Phrase,,
KEEPING A LOW PROFILE,Phrase,,
ALEXANDER AND GEORGE HAMILTON,Same Name,,
BRYANT GUMBEL,Person,,
VIDEOCASSETTE RECORDER,Thing,,
TOMBSTONE ARIZONA,Place,,
OFFENSIVE LANGUAGE,Thing,,
RENDERED SPEECHLESS,Phrase,,
THE SPIRIT OF ST LOUIS,Title,,
DO YOU SOLEMNLY SWEAR,Quotation,,
THE ABSOLUTE TRUTH,Phrase,,
ELECTRIFYING PERFORMANCE,Thing,,
SMOTHERED WITH KISSES,Phrase,,
IRATE CUSTOMER,Person,,
LION TAMER,Occupation,,
HOW I SPENT MY SUMMER VACATION,Phrase,,
ALARMING STATISTICS,Things,,
POSTHYPNOTIC SUGGESTION,Thing,,
UNINSURED MOTORISTS,People,,
ON A DIET,Phrase,,
THE CUTTING EDGE,Phrase,,
IRREGULAR HEARTBEAT,Thing,,
TONGUE SANDWICH,Thing,,
MORAL MAJORITY,People,,
THE VATICAN,Place,,
ON A ROLLER COASTER RIDE,Phrase,,
SET THE WHEELS IN MOTION,Phrase,,
EXCEEDING THE SPEED LIMIT,Phrase,,
LUCILLE AND SOCCER BALL,Same Name,,
SHORT PERIOD OF TIME,Thing,,
THE RED BADGE OF COURAGE,Title,,
VIVID IMAGINATION,Thing,,
WATERFORD AND BILLY CRYSTAL,Same Name,,
NEVER IN A MILLION YEARS,Phrase,,
CAMPAIGN MANAGER,Occupation,,
AUTUMN IN NEW YORK,Title,,
RAKED OVER THE COALS,Phrase,,
BOWLING AND TIN PAN ALLEY,Same Name,,
LACK OF PERSEVERANCE,Phrase,,
QUIET ON THE SET,Phrase,,
DIAMOND NECKLACE,Thing,,
NEW YORK CABBY,Person,,
GOING THE EXTRA MILE,Phrase,,
ANNUAL HOUSEHOLD INCOME,Thing,,
LISTEN TO REASON,Phrase,,
FLOWER CHILDREN,People,,
CAUSE FOR CELEBRATION,Phrase,,
PUSHING ALL THE RIGHT BUTTONS,Phrase,,
MIXED GREEN SALAD,Thing,,
FLYING DOWN TO RIO,Title,,
TOM AND JOAN COLLINS,Same Name,,
HANGING GARDENS OF BABYLON,Landmark,,
WALK ON THE WILD SIDE,Title,,
NO NEWS IS GOOD NEWS,Phrase,,
YANKEE DOODLE,Title,,
QUARTER AND CHARLEY HORSE,Same Name,,
STRICTLY CONFIDENTIAL,Phrase,,
A WORD TO THE WISE IS ENOUGH,Quotation,,
ZIGZAGGING ALL OVER THE PLACE,Phrase,,
LUNCH HOUR,Thing,,
PERFECT STRANGERS,Title,,
DICK CAVETT,Person,,
BARBARA AND THE GARDEN OF EDEN,Same Name,,
JOE NAMATH,Person,,
JANE PAULEY,Person,,
NEW YORK CITY MARATHON,Event,,
FOR ME AND MY GAL,Title,,
CHARLTON HESTON,Person,,
IF YOU PLAY YOUR CARDS RIGHT,Phrase,,
JULIUS AND SID CAESAR,Same Name,,
BOY SCOUT JAMBOREE,Event,,
APRICOT,Thing,,
BORDERS ON THE RIDICULOUS,Phrase,,
PUNCH AND CHORUS LINE,Same Name,,
HIGH SCHOOL FOOTBALL TEAM,People,,
MINK COAT,Thing,,
NEW YORK METS,People,,
BEYOND THE BLUE HORIZON,Title,,
BLANK CHECK,Thing,,
FOREST AND LONE RANGER,Same Name,,
RADIO CITY MUSIC HALL ROCKETTES,People,,
ANTISMOKING GROUP,People,,
BROADWAY,Place,,
GIVE ME THREE GOOD REASONS,Phrase,,
LANA AND PANCAKE TURNER,Same Name,,
ERUPTING VOLCANO,Thing,,
SQUASH,Thing,,
STEREOPHONIC SOUND,Thing,,
NEW YORK RANGERS,People,,
SOMETHING IS ROTTEN IN THE STATE OF DENMARK,Quotation,,
COMMUTER TRAFFIC,Thing,,
GOING BANANAS,Phrase,,
AT THE TOP OF THE LIST,Phrase,,
DEBBIE REYNOLDS,Person,,
DOCTOR LAWYER INDIAN CHIEF,Quotation,,
NEW ORLEANS JAZZ,Thing,,
THE HOLIDAY SPIRIT,Phrase,,
KENNY AND ROY ROGERS,Same Name,,
BOOSTER ROCKET,Thing,,
TENNESSEE WALKING HORSE,Thing,,
BANK VAULT,Place,,
WINDOW AND BEVERLY SILLS,Same Name,,
HERD OF ELEPHANTS,Thing,,
STRING QUARTET,People,,
THE SPACE SHUTTLE DISCOVERY,Thing,,
PRICE TAG,Thing,,
APPALACIAN MOUNTAINS,Things,,
WILD KINGDOM,Title,,
SOLAR PLEXUS,Thing,,
VANNA AND SNOW WHITE,Same Name,,
BURNING ISSUE,Thing,,
LUCKY BREAK,Phrase,,
STICK OUT YOUR TONGUE AND SAY AH,Phrase,,
ENGULFED IN FLAMES,Phrase,,
FROM THE HALLS OF MONTEZUMA,Quotation,,
OXYGEN TANK,Thing,,
MILAN ITALY,Place,,
LUCILLE AND DEBUTANTE BALL,Same Name,,
FACING THE ISSUES,Phrase,,
WINNER BY A UNANIMOUS DECISION,Phrase,,
RAZZMATAZZ,Phrase,,
SUGAR DADDY,Person,,
SPENCER AND DICK TRACY,Same Name,,
EAST SIDE WEST SIDE ALL AROUND THE TOWN,Quotation,,
PSYCHIC PHENOMENON,Thing,,
CLASSICAL JAZZ,Thing,,
THE WINDS OF WAR,Title,,
LOADS OF FUN,Phrase,,
IRVING AND WEST BERLIN,Same Name,,
CHAUFFERED LIMOUSINE,Thing,,
GOOD MORNING AMERICA,Title,,
QUE SERA SERA WHATEVER WILL BE WILL BE,Quotation,,
LUCKY NUMBER,Thing,,
THE STAR OF THE SHOW,Person,,
PROSPECTING FOR GOLD,Event,,
GRAND BAHAMA ISLAND,Place,,
TOO CLOSE FOR COMFORT,Phrase,,
LOLLIPOP,Thing,,
COLD AS ICE,Phrase,,
MOTION PICTURE,Thing,,
FOOTBALL AND NEW JERSEY,Same Name,,
MARLA GIBBS,Person,,
MARRY IN HASTE AND REPENT AT LEISURE,Phrase,,
WEIGHT WATCHERS,People,,
TICKLED PINK LEMONADE,Before & After,,
SCATTERED TO THE WINDS,Phrase,,
PRINCESS CAROLINE OF MONACO,Person,,
ACCOUNT EXECUTIVE,Occupation,,
JUST CHECKING,Phrase,,
JAMES GARNER,Person,,
FOR EVERY MAN WOMAN AND CHILD,Phrase,,
LARRY KING OF HEARTS,Before & After,,
AVOID THE PITFALLS,Phrase,,
DAMN AND NEW YORK YANKEES,Same Name,,
AUTOMATIC TELLER MACHINE,Thing,,
THE VOLUNTEER STATE,Nickname,,
MANUAL LABOR,Thing,,
ARSENIO HALL,Person,,
ROMEO ROMEO WHEREFORE ART THOU ROMEO,Quotation,,
DONALD DUCK SOUP,Before & After,,
ON FINAL APPROACH FOR LANDING,Phrase,,
COVER YOUR BET,Phrase,,
WROUGHT IRON FENCE,Thing,,
TED AND TINA TURNER,Same Name,,
PARKING LOT TICKET VALIDATION,Thing,,
METROPOLITAN AREA,Place,,
PABLO PICASSO,Person,,
FISHING FOR AN INVITATION,Phrase,,
ANNAPOLIS MARYLAND,Place,,
BUDDY AND FILTHY RICH,Same Name,,
POKER CHIPS,Things,,
STATIC ELECTRICITY,Thing,,
CHARLIE AND AMERICAN PRIDE,Same Name,,
THE SAN ANDREAS FAULT,Thing,,
VEAL PARMIGIANA,Thing,,
GOOD WILL AMBASSADOR,Person,,
FAIRY GODMOTHER,Fictional Character,,
THE CASE IS UNDER INVESTIGATION,Phrase,,
GEORGETOWN UNIVERSITY,Place,,
BABY OIL,Thing,,
FOR THE UMPTEENTH TIME,Phrase,,
RICHMOND VIRGINIA GRAHAM,Before & After,,
BIZARRE BEHAVIOR,Thing,,
SMOTHERED IN ONIONS,Phrase,,
YOKO ONO,Person,,
BRIGHT AND EARLY,Phrase,,
GETTING IN ON THE GROUND FLOOR,Phrase,,
LOS ANGELES CALIFORNIA,Place,,
MELBA TOAST OF THE TOWN,Before & After,,
WILLIE MAYS,Person,,
PHYSICALLY FIT,Phrase,,
JESSE JACKSON MISSISSIPPI,Before & After,,
STRONG AS AN OX,Phrase,,
ROMANTIC TRIANGLE,People,,
REDD FOXX,Person,,
LIVE TO A RIPE OLD AGE,Phrase,,
INADMISSIBLE EVIDENCE,Thing,,
I GOT SIDETRACKED,Phrase,,
ON A LARK,Phrase,,
THE LITTLE TRAMP,Fictional Character,,
STAMP OF APPROVAL,Phrase,,
HIGH SCHOOL SENIORS,People,,
SETTING THE STAGE,Phrase,,
HAT AND COAT,Things,,
FAX MACHINE,Thing,,
SPENDING TIME BEHIND BARS,Event,,
LABOR DAY WEEKEND,Event,,
BINGO,Title,,
FIELD OF DREAMS,Title,,
NORMAL BODY TEMPERATURE,Thing,,
THE SALTON SEA,Place,,
CATCH PHRASE,Thing,,
PITTSBURGH PIRATES,People,,
EFFERVESCENT SPRING WATER,Thing,,
CULTURED PEARLS OF WISDOM,Before & After,,
FEDERAL MEDIATOR,Occupation,,
BUCKWHEAT PANCAKES,Things,,
BUMPER CROP,Thing,,
TOP PRIORITY,Thing,,
HE ARRIVED INCOGNITO,Phrase,,
THE GREATEST NAMES IN SPORTS,People,,
BEACON OF LIGHT,Thing,,
ON GUARD,Phrase,,
THINGS ARE LOOKING UP,Phrase,,
TENNESSEE VALLEY AUTHORITY,People,,
MOBY DICK CLARK,Before & After,,
VOWELS,Things,,
STAND PAT NIXON,Before & After,,
GETTING A JUMP ON THE COMPETITION,Phrase,,
LIVE ENTERTAINMENT,Phrase,,
MARMALADE,Thing,,
DENNIS QUAID,Person,,
RIDING OUT THE STORM,Phrase,,
BALANCED BUDGET RENT A CAR,Before & After,,
HOLLANDAISE SAUCE,Thing,,
IN THE CIVILIZED WORLD,Phrase,,
KANGAROO,Thing,,
WHISKED AWAY,Phrase,,
HOT DOG WITH MUSTARD AND PICKLES,Things,,
MAJOR CATASTROPHE,Event,,
SLAPHAPPY,Phrase,,
PHOTOS IN THE FAMILY ALBUM,Things,,
THIS IS YOUR CAPTAIN SPEAKING,Phrase,,
JIMMY STEWART,Person,,
BEIJING CHINA,Place,,
BLOW OVER,Phrase,,
BLAZING THE TRAIL,Phrase,,
STIFF COMPETITION,Phrase,,
HEART PALPITATIONS,Things,,
LIFEBOAT,Thing,,
COUNTRY MUSIC SINGER,Person,,
THE BRITISH CROWN COLONY OF HONG KONG,Place,,
DETRIMENTAL TO YOUR HEALTH,Phrase,,
PADLOCK,Thing,,
WORDS OF WISDOM TOOTH,Before & After,,
TYPOGRAPHICAL ERROR,Thing,,
MEXICAN AMERICANS,People,,
PERPLEXED LOOK,Thing,,
PUT UP YOUR DUKES,Phrase,,
BOB HOPE SPRINGS ETERNAL,Before & After,,
POLITICAL ASYLUM,Phrase,,
ESCAPE MECHANISM,Thing,,
FAMILY TREE,Thing,,
SQUADRON,People,,
RAVE REVIEWS,Things,,
CRAWL BETWEEN THE SHEETS,Phrase,,
HIGHWAYS AND BYWAYS,Phrase,,
DAISY CHAIN OF EVENTS,Before & After,,
LUNCH BREAK,Event,,
CORNER DRUG STORE,Place,,
MIRACLE OF MIRACLES,Phrase,,
GEORGE C SCOTT AS PATTON,People,,
JOLLY ROGER MOORE,Before & After,,
HIGH AND DRY,Phrase,,
HOMOGENIZED MILK OF HUMAN KINDNESS,Before & After,,
SYLVESTER STALLONE AS ROCKY,Person/Fictional Character,,
OFFSHORE OIL DRILLING,Thing,,
PICCADILLY CIRCUS,Place,,
MISCHIEF MAKER,Person,,
BUMPY ROAD,Thing,,
PATRICK HENRY THE EIGHTH,Before & After,,
Y CHROMOSOME,Thing,,
GATHER YE ROSEBUDS WHILE YE MAY,Quotation,,
VIEW WITH ALARM,Phrase,,
SHREVEPORT LOUISIANA,Place,,
SOMEWHERE OVER THE RAINBOW TROUT,Before & After,,
HIGH BLOOD PRESSURE,Thing,,
REFRESH MY MEMORY,Phrase,,
LIBRARY BOOK,Thing,,
CREPE SUZETTE,Thing,,
FLASHED A WINNING SMILE,Phrase,,
JULIE ANDREWS IN THE SOUND OF MUSIC,Person/Title,,
MONTREAL EXPOS,People,,
HORSEPLAY,Phrase,,
GHOST STORY,Thing,,
OUT OF A CLEAR SKY,Phrase,,
LONDON BRIDGE OVER TROUBLED WATER,Before & After,,
GEOLOGICAL SURVEY,Thing,,
MISSIONARY,Person,,
PETER SELLERS AS INSPECTOR CLOUSEAU,Star & Role,,
ILLEGALLY PARKED CARS,Things,,
MONARCH,Person,,
DESE DEM AND DOSE GUYS,Phrase,,
BRIGHAM YOUNG AT HEART,Before & After,,
COVERS A MULTITUDE OF SINS,Phrase,,
HEIDELBERG WEST GERMANY,Place,,
WHIPLASH,Phrase,,
GROSS EXAGGERATION,Thing,,
BY THE SWEAT OF YOUR BROW,Phrase,,
GREEK ALPHABET,Thing,,
CLAMBAKE,Event,,
GIMME A BUZZ,Phrase,,
SCOTTISH BAGPIPER,Person,,
KERMIT THE FROG AND MISS PIGGY,Fictional Characters,,
COLLEGE ALUMNI DINNER,Event,,
DOG HOUSE,Place,,
GETTING YOUR SIGNALS CROSSED,Phrase,,
MALCOM FORBES AND ELIZABETH TAYLOR,People,,
SOFT TO THE TOUCH,Phrase,,
FREEWAY TRAFFIC,Thing,,
QUOTATION,Thing,,
FASTER THAN GREASED LIGHTNING,Phrase,,
MICHAEL KEATON AS BATMAN,Star & Role,,
BUSINESS ASSOCIATES,People,,
JACK OF CLUBS,Thing,,
BREAKFAST FOOD FOR THOUGHT,Before & After,,
TOUGH COMPETITION,Phrase,,
HARBORING A GRUDGE,Phrase,,
ON THE FIRING LINE,Phrase,,
COMMONWEALTH,Place,,
STAKE YOUR CLAIM,Phrase,,
HEREDITY AND ENVIRONMENT,Things,,
WHIPPED CREAM,Thing,,
BARBECUE SPIT,Thing,,
FIRST AND FOREMOST,Phrase,,
MICHAEL JACKSON MISSISSIPPI,Before & After,,
GOOD FOR THE SOUL,Phrase,,
BLACKBOARD,Thing,,
AMERICAN LEAGUE PENNANT,Thing,,
BREAKING THE DEADLOCK,Phrase,,
ALASKAN KING SALMON,Thing,,
A FLIRT,Person,,
THE WORLD IS MY OYSTER,Phrase,,
LARRY HAGMAN AS J R EWING,Star & Role,,
UNANSWERED QUESTIONS,Things,,
MOOT POINT,Thing,,
LETHAL WEAPON,Title,,
COMPUTER VIRUS,Thing,,
PREPARING FOR THE INEVITABLE,Phrase,,
VAGABOND,Person,,
PAUL HOGAN AS CROCODILE DUNDEE,Star & Role,,
EVERY EXCUSE IN THE BOOK,Phrase,,
MIKHAIL GORBACHEV,Person,,
WHITE BREAD,Thing,,
JOHNNY BENCH PRESS,Before & After,,
HOPING AGAINST HOPE,Phrase,,
PEANUTS CARTOONIST CHARLES SCHULZ,Person,,
DEFENSE MECHANISM,Thing,,
MAYOR,Occupation,,
JESUS MARY AND JOESEPH,People,,
WEARING YOUR HEART ON YOUR SLEEVE,Phrase,,
ARCHITECTURAL DIGEST,Title,,
DOWN TO THE WIRE,Phrase,,
EAST GERMANS,People,,
FRUIT JUICE,Thing,,
IN BY NINE OUT BY FIVE,Phrase,,
AREA CODE AND TELEPHONE NUMBER,Things,,
LESLIE CARON AS GIGI,Star & Role,,
THIS LITTLE PIGGY,Fictional Character,,
TOUR GUIDE,Occupation,,
TED DANSON STARRING IN CHEERS,Person/Title,,
THE EXECTIVE OFFICE OF THE PRESIDENT,People,,
MEL BROOKS AND ANNE BANCROFT,Husband & Wife,,
PRIVATE EYE,Occupation,,
CHRISTMAS BONUS,Thing,,
ATOM,Thing,,
TRAFFIC SIGNAL,Thing,,
PETER PIPER PICKED A PECK OF PICKLED PEPPERS,Quotation,,
SHUCKING CORN,Event,,
TROPICAL RAIN FOREST,Place,,
ANATOMY,Thing,,
THE DECADE OF THE NINETIES,Thing,,
OLD NEWSPAPER CLIPPING,Thing,,
HARRY S BESS AND MARGARET TRUMAN,Family,,
TAMPA FLORIDA,Place,,
WINTER CARNIVAL,Event,,
DUSTIN HOFFMAN STARRING IN TOOTSIE,Person/Title,,
RESEARCH CHEMIST,Occupation,,
TURNED INSIDE OUT,Phrase,,
FILLET OF SOUL,Thing,,
CHOIRBOY,Person,,
GO FOR BROKE,Phrase,,
JUMBO SHRIMP COCKTAIL WAITRESS,Before & After,,
MICHAEL LYNN AND VANESSA REDGRAVE,Family,,
SINGING IN THE SHOWER,Event,,
PIE A LA MODE,Thing,,
SEALED WITH A KISS,Title,,
PAUL AND LINDA MC CARTNEY,Husband & Wife,,
DESIGNATED DRIVER,Person,,
FLANNEL SHIRT,Thing,,
FAMILY ROOM,Place,,
PLANS ARE SHAPING UP,Phrase,,
CLINT EASTWOOD AS DIRTY HARRY CALLAHAN,Star & Role,,
THE POWERS THAT BE,People,,
GIBBERISH,Thing,,
A LITTLE BIRD TOLD ME,Phrase,,
LAST NAME FIRST,Phrase,,
PRACTICE MAKES PERFECT STRANGERS,Before & After,,
THE NORMAN CONQUEST,Event,,
WATERING HOLE,Place,,
IN RETROSPECT,Phrase,,
CAVALCADE,People,,
KICK UP YOUR HEELS,Phrase,,
ON AUTOMATIC PILOT,Phrase,,
AND JILL CAME TUMBLING AFTER,Quotation,,
CLEVELAND INDIANS,People,,
CLAY PIGEON,Thing,,
JOHN LENNON AND YOKO ONO,Husband & Wife,,
CHOCOLATE LAYER CAKE,Thing,,
SYDNEY AUSTRALIA,Place,,
BATMOBILE,Thing,,
BAG OF POPCORN,Thing,,
HEADACHE,Thing,,
BLOW THE LID OFF,Phrase,,
FOLLOW YOUR INSTINCTS,Phrase,,
IN THE PUBLIC EYE,Phrase,,
KOOKY COSTUME,Thing,,
WEIGHING THE PROS AND CONS,Phrase,,
BANANA SPLIT INFINITIVE,Before & After,,
INCOME TAX DEDUCTION,Thing,,
NIGHT CLUB,Place,,
YOUR PLACE OR MINE,Phrase,,
HAVING A LOT OF IRONS IN THE FIRE,Phrase,,
WILLIAM RANDOLPH AND PATRICIA HEARST,Family,,
TEST KITCHEN,Place,,
SHOW BOAT,Title,,
SHOCKING PINK,Thing,,
KIRK AND MICHAEL DOUGLAS,Family,,
BLOOD TRANSFUSION,Thing,,
